,Year,Budget_in_$M,Revenue_in_$,Duration_in_Minutes
When Marnie Was There,2014,1150,34949567,103
The Tale of The Princess Kaguya,2013,49.3,24366656,137
The Wind Rises,2013,30,117932401,126
From Up on Poppy Hill,2011,22,61037844,91
The Secret World of Arrietty,2010,23,149480483,94
Ponyo,2008,34,202404009,100
Ocean Waves,1994,5,100000,72
Tales from Earthsea,2006,22,68625104,115
Only Yesterday,1991,2.5,473110,119
Spirited Away,2001,19,274925095,125
My Neighbors the Yamadas,1999,20.5,167000000,104
Whisper of the Heart,1995,7,34900000,111
Grave of the Fireflies,1988,3.7,516962,89
My Neighbor Totoro,1988,3.7,41000000,86
Princess Mononoke,1997,23.5,169000000,134
Howl's Moving Castle,2004,24,236049757,119
Castle in the Sky,1986,3,5228752,125
Kiki's Delivery Service,1989,6.9,4493017,103
Pom Poko,1994,12,4470000000,119
Porco Rosso,1992,9.2,34100000,93
The Cat Returns,2002,20,54016370,75
Nausica of the Valley of the Wind,1984,1,3301446,117
The Boy and the Heron,2023,100,167000000,124
